MaDH,MaSP,SoLuong,MucGiamGia
DH00063,SP006,5,0.2
DH00064,SP006,4,0.05
DH00065,SP004,3,0.05
DH00065,SP007,999,0.1
DH00065,SP008,4,0.0
DH00066,SP004,5,0.05
DH00066,SP005,5,0.0
DH00066,SP003,2,0.1
DH00067,SP005,1,0.1
DH00067,SP008,5,0.05
DH00067,SP003,999,0.0
DH00068,SP001,1,0.05
DH00069,SP008,-5,0.0
DH00070,SP006,3,0.05
DH00071,SP001,2,0.1
DH00071,SP004,5,0.0
DH00072,SP006,5,0.0
DH00073,SP001,1,0.05
DH00074,SP002,2,0.0
DH00075,SP004,3,0.0
DH00075,SP005,2,0.0
DH00076,SP007,3,0.0
DH00076,SP003,-4,0.0
DH00077,SP001,1,0.0
DH00077,SP004,5,0.2
DH00077,SP008,3,0.05
DH00078,SP004,2,0.0
DH00078,SP003,3,0.05
DH00079,SP006,2,0.05
DH00079,SP001,1,0.1
DH00079,SP005,3,0.0
DH00080,SP004,2,0.0
DH00080,SP002,3,0.1
DH00081,SP001,4,0.1
DH00081,SP004,5,0.2
DH00081,SP005,2,0.1
DH00082,SP006,4,0.0
DH00082,SP004,3,0.2
DH00082,SP001,1,0.1
DH00083,SP006,1,0.0
DH00084,SP003,3,0.05
DH00084,SP001,3,0.1
DH00085,SP002,2,0.0
DH00085,SP001,2,0.1
DH00085,SP004,5,0.0
DH00086,SP006,1,0.0
DH00086,SP007,2,0.0
DH00087,SP005,3,0.1
DH00087,SP004,2,0.05
DH00088,SP004,4,0.0
DH00088,SP007,2,0.0
DH00089,SP002,1,0.2
DH00090,SP003,5,0.05
DH00091,SP001,-2,0.1
DH00091,SP002,5,0.2
DH00091,SP004,2,0.0
DH00092,SP003,3,0.0
DH00092,SP005,4,0.05
DH00093,SP002,2,0.0
DH00093,SP005,999,0.2
DH00094,SP007,4,0.0
DH00094,SP008,999,0.0
DH00095,SP006,1,0.0
DH00096,SP003,4,0.1
DH00096,SP004,5,0.0
DH00097,SP003,4,0.0
DH00097,SP002,1,0.0
DH00097,SP005,2,0.0
DH00098,SP001,2,0.0
DH00099,SP007,1,0.1
DH00100,SP001,999,0.05
DH00101,SP001,5,0.0
DH00101,SP007,3,0.0
DH00101,SP008,3,0.1
DH00102,SP007,4,0.0
DH00102,SP003,5,0.0
DH00103,SP002,5,0.1
DH00103,SP007,5,0.1
DH00103,SP004,3,0.0
DH00104,SP006,2,0.0
DH00104,SP002,3,0.0
DH00104,SP003,1,0.2
DH00105,SP007,4,0.0
DH00105,SP003,3,0.0
DH00105,SP002,1,0.2
DH00106,SP004,5,0.05
DH00107,SP005,5,0.0
DH00108,SP003,5,0.0
DH00109,SP008,-3,0.0
DH00110,SP005,1,0.0
DH00110,SP007,4,0.0
DH00111,SP001,3,0.2
DH00112,SP004,2,0.0
DH00112,SP003,2,0.05
DH00113,SP004,5,0.1
DH00113,SP007,2,0.0
DH00114,SP005,3,0.0
DH00115,SP003,3,0.0
DH00116,SP007,3,0.05
DH00116,SP001,4,0.2
DH00116,SP002,1,0.1
DH00117,SP003,2,0.0
DH00118,SP007,4,0.05
DH00119,SP001,1,0.0
DH00119,SP008,-3,0.0
DH00120,SP005,4,0.0
DH00120,SP007,1,0.0
DH00121,SP008,4,0.1
DH00121,SP006,2,0.2
DH00122,SP004,1,0.0
DH00122,SP006,2,0.2
DH00123,SP006,4,0.1
DH00124,SP007,3,0.05
DH00125,SP002,5,0.0
DH00125,SP005,3,0.0
DH00126,SP001,-5,0.0
DH00127,SP004,5,0.2
DH00127,SP005,4,0.1
DH00128,SP002,2,0.05
DH00129,SP004,1,0.1
DH00129,SP008,5,0.05
DH00129,SP007,1,0.05
DH00130,SP007,5,0.0
DH00130,SP006,3,0.05
DH00131,SP005,2,0.05
DH00131,SP004,1,0.0
DH00131,SP007,2,0.0
DH00132,SP005,4,0.05
DH00132,SP007,1,0.05
DH00132,SP008,999,0.0
DH00133,SP006,3,0.0
DH00133,SP005,4,0.05
DH00134,SP003,5,0.05
DH00134,SP005,999,0.0
DH00134,SP008,-3,0.0
DH00135,SP004,2,0.1
DH00135,SP002,1,0.2
DH00136,SP004,1,0.2
DH00136,SP002,3,0.1
DH00137,SP005,5,0.05
DH00137,SP007,2,0.0
DH00137,SP004,4,0.0
DH00138,SP006,2,0.0
DH00138,SP002,-5,0.2
DH00138,SP005,999,0.05
DH00139,SP007,2,0.05
DH00139,SP004,1,0.0
DH00139,SP003,-3,0.1
DH00140,SP003,2,0.0
DH00140,SP004,4,0.0
DH00141,SP001,3,0.1
DH00141,SP006,4,0.1
DH00141,SP002,2,0.0
DH00142,SP007,4,0.1
DH00142,SP005,2,0.2
DH00143,SP003,4,0.0
DH00143,SP001,5,0.1
DH00144,SP008,4,0.1
DH00144,SP007,4,0.05
DH00145,SP008,-5,0.0
DH00145,SP005,4,0.05
DH00146,SP005,4,0.1
DH00146,SP006,999,0.05
DH00146,SP004,5,0.2
DH00147,SP004,2,0.2
DH00147,SP005,1,0.0
DH00147,SP001,4,0.0
DH00148,SP001,1,0.2
DH00149,SP004,1,0.1
DH00150,SP001,5,0.0
DH00151,SP006,1,0.0
DH00151,SP008,5,0.0
DH00151,SP004,4,0.2
DH00152,SP007,1,0.2
DH00152,SP008,4,0.1
DH00153,SP004,1,0.05
DH00153,SP002,5,0.0
DH00153,SP005,3,0.0
DH00154,SP001,2,0.0
DH00154,SP002,4,0.05
DH00154,SP006,2,0.05
DH00155,SP001,3,0.0
DH00155,SP006,2,0.1
DH00155,SP004,5,0.2
DH00156,SP003,-3,0.05
DH00156,SP006,2,0.0
DH00157,SP007,2,0.1
DH00158,SP003,3,0.2
DH00158,SP002,4,0.1
DH00158,SP008,999,0.0
DH00159,SP001,2,0.1
DH00160,SP007,2,0.0
DH00161,SP007,5,0.2
DH00161,SP005,2,0.2
DH00161,SP004,4,0.0
DH00162,SP004,1,0.05
DH00162,SP002,-4,0.05
DH00163,SP006,3,0.05
DH00163,SP003,1,0.0
DH00163,SP004,999,0.0
DH00164,SP002,2,0.1
DH00164,SP001,4,0.0
DH00165,SP007,1,0.0
DH00165,SP001,5,0.05
DH00166,SP008,2,0.0
DH00167,SP002,5,0.1
DH00167,SP005,4,0.0
DH00167,SP006,3,0.0
DH00168,SP005,1,0.1
DH00169,SP004,1,0.1
DH00169,SP003,-1,0.2
DH00170,SP002,2,0.0
DH00171,SP003,2,0.05
DH00172,SP006,5,0.1
DH00173,SP002,5,0.1
DH00173,SP003,2,0.1
DH00173,SP005,3,0.0
DH00174,SP002,4,0.0
DH00174,SP003,4,0.05
DH00175,SP003,4,0.0
DH00175,SP001,2,0.0
DH00175,SP006,4,0.0
DH00176,SP002,2,0.0
DH00176,SP001,3,0.0
DH00176,SP007,3,0.0
DH00177,SP002,2,0.05
DH00177,SP003,1,0.1
DH00177,SP001,2,0.0
DH00178,SP005,5,0.1
DH00178,SP006,5,0.0
DH00179,SP004,-3,0.0
DH00179,SP001,5,0.0
DH00180,SP002,5,0.0
DH00180,SP005,3,0.2
DH00180,SP007,2,0.0
DH00181,SP005,5,0.05
DH00181,SP002,5,0.2
DH00181,SP007,999,0.1
DH00182,SP006,5,0.0
DH00182,SP008,4,0.05
DH00182,SP007,3,0.1
DH00183,SP004,3,0.0
DH00183,SP002,5,0.1
DH00184,SP003,3,0.05
DH00184,SP005,3,0.0
DH00185,SP008,5,0.0
DH00185,SP006,5,0.05
DH00185,SP001,4,0.0
DH00186,SP005,5,0.0
DH00186,SP001,3,0.0
DH00186,SP002,5,0.1
DH00187,SP002,3,0.0
DH00187,SP005,-3,0.2
DH00188,SP005,5,0.0
DH00188,SP008,4,0.0
DH00189,SP008,1,0.2
DH00189,SP004,3,0.0
DH00190,SP006,2,0.0
DH00191,SP008,2,0.1
DH00192,SP006,2,0.0
DH00193,SP004,4,0.1
DH00193,SP008,2,0.0
DH00193,SP003,2,0.1
DH00194,SP002,1,0.0
DH00195,SP005,4,0.0
DH00195,SP007,2,0.0
DH00196,SP002,5,0.0
DH00197,SP007,4,0.05
DH00198,SP006,3,0.2
DH00199,SP003,3,0.0
DH00199,SP006,1,0.05
DH00199,SP008,3,0.0
DH00200,SP002,4,0.0
DH00201,SP001,2,0.1
DH00202,SP007,3,0.0
DH00203,SP002,4,0.1
DH00204,SP004,4,0.0
DH00204,SP001,4,0.1
DH00205,SP002,-4,0.05
DH00205,SP007,3,0.05
DH00205,SP008,5,0.2
DH00206,SP007,3,0.0
DH00207,SP001,3,0.05
DH00208,SP008,4,0.0
DH00209,SP006,1,0.05
DH00210,SP003,4,0.05
DH00211,SP004,4,0.0
DH00211,SP008,4,0.0
DH00212,SP003,5,0.2
DH00212,SP007,1,0.1
DH00213,SP006,2,0.2
DH00214,SP002,4,0.1
DH00214,SP004,3,0.0
DH00214,SP001,1,0.0
DH00215,SP001,4,0.0
DH00215,SP006,3,0.0
DH00216,SP001,4,0.1
DH00216,SP005,1,0.0
DH00217,SP007,4,0.0
DH00217,SP006,4,0.0
DH00217,SP003,5,0.0
DH00218,SP006,5,0.0
DH00218,SP007,-4,0.0
DH00219,SP003,1,0.1
DH00220,SP002,3,0.2
DH00221,SP006,5,0.2
DH00222,SP002,3,0.0
DH00222,SP001,4,0.05
DH00223,SP002,4,0.2
DH00223,SP005,1,0.05
DH00223,SP004,1,0.2
DH00224,SP005,4,0.05
DH00225,SP001,-2,0.2
DH00226,SP008,5,0.0
DH00226,SP002,3,0.0
DH00227,SP006,5,0.05
DH00227,SP004,5,0.2
DH00227,SP001,5,0.0
DH00228,SP008,1,0.0
DH00228,SP006,1,0.2
DH00228,SP001,5,0.2
DH00229,SP006,3,0.05
DH00230,SP006,3,0.0
DH00230,SP008,-5,0.0
DH00230,SP003,1,0.05
DH00231,SP007,2,0.0
DH00231,SP004,1,0.0
DH00232,SP004,2,0.0
DH00232,SP008,3,0.0
DH00233,SP005,4,0.05
DH00233,SP003,5,0.1
DH00234,SP001,5,0.0
DH00234,SP002,2,0.0
DH00234,SP005,2,0.0
DH00235,SP003,2,0.1
DH00235,SP004,5,0.0
DH00236,SP007,1,0.0
DH00236,SP001,3,0.2
DH00237,SP008,3,0.0
DH00237,SP006,5,0.0
DH00237,SP005,3,0.0
DH00238,SP004,1,0.0
DH00239,SP005,5,0.1
DH00239,SP004,1,0.0
DH00240,SP001,5,0.2
DH00241,SP008,2,0.05
DH00241,SP007,3,0.0
DH00241,SP004,3,0.1
DH00242,SP005,3,0.0
DH00242,SP003,3,0.2
DH00242,SP001,5,0.2
DH00243,SP005,3,0.2
DH00244,SP008,4,0.0
DH00244,SP001,4,0.0
DH00244,SP002,4,0.0
DH00245,SP007,2,0.0
DH00245,SP004,999,0.0
DH00245,SP001,4,0.0
DH00246,SP004,1,0.0
DH00246,SP005,-4,0.0
DH00247,SP004,5,0.05
DH00247,SP006,4,0.1
DH00248,SP003,4,0.2
DH00249,SP003,1,0.0
DH00250,SP004,1,0.2
DH00250,SP002,4,0.0
DH00251,SP002,3,0.05
DH00251,SP008,4,0.2
DH00251,SP003,5,0.0
DH00252,SP006,1,0.05
DH00252,SP002,3,0.0
DH00252,SP003,999,0.0
DH00253,SP003,4,0.0
DH00253,SP001,2,0.0
DH00254,SP007,1,0.05
DH00254,SP006,3,0.1
DH00254,SP002,1,0.1
DH00255,SP003,5,0.0
DH00256,SP006,3,0.0
DH00257,SP008,3,0.1
DH00257,SP005,4,0.0
DH00257,SP002,2,0.0
DH00258,SP004,3,0.0
DH00259,SP007,1,0.0
DH00259,SP003,1,0.0
DH00259,SP002,1,0.05
DH00260,SP007,5,0.0
DH00261,SP002,5,0.0
DH00261,SP003,3,0.0
DH00261,SP007,1,0.1
DH00262,SP002,4,0.0
DH00263,SP004,2,0.2
DH00264,SP002,3,0.1
DH00264,SP001,1,0.0
DH00265,SP003,3,0.05
DH00265,SP001,3,0.1
DH00265,SP008,3,0.0
DH00266,SP005,3,0.2
DH00267,SP004,1,0.0
DH00267,SP008,5,0.1
DH00267,SP005,5,0.2
DH00268,SP008,4,0.1
DH00268,SP005,5,0.05
DH00269,SP001,5,0.0
DH00270,SP004,1,0.0
DH00270,SP005,2,0.0
DH00270,SP007,1,0.0
DH00271,SP003,3,0.05
DH00271,SP002,4,0.05
DH00271,SP006,2,0.0
DH00272,SP005,3,0.0
DH00272,SP002,1,0.0
DH00272,SP003,3,0.2
DH00273,SP006,2,0.2
DH00273,SP001,2,0.1
DH00273,SP007,3,0.1
DH00274,SP002,5,0.0
DH00275,SP004,2,0.1
DH00275,SP003,4,0.05
DH00276,SP001,2,0.2
DH00277,SP003,5,0.1
DH00278,SP006,3,0.1
DH00278,SP002,3,0.1
DH00278,SP008,-3,0.0
DH00279,SP007,4,0.05
DH00279,SP008,4,0.05
DH00280,SP004,4,0.0
DH00280,SP002,-2,0.1
DH00280,SP001,1,0.1
DH00281,SP002,3,0.2
DH00282,SP008,1,0.05
DH00283,SP008,1,0.2
DH00283,SP004,3,0.0
DH00284,SP006,3,0.0
DH00285,SP001,2,0.2
DH00286,SP004,1,0.1
DH00287,SP007,5,0.0
DH00287,SP001,3,0.1
DH00288,SP003,999,0.1
DH00289,SP003,2,0.05
DH00290,SP003,3,0.0
DH00291,SP001,4,0.0
DH00291,SP007,2,0.05
DH00291,SP006,2,0.0
DH00292,SP003,1,0.2
DH00293,SP002,5,0.0
DH00293,SP006,4,0.05
DH00294,SP004,5,0.0
DH00294,SP007,4,0.0
DH00294,SP001,-1,0.1
DH00295,SP004,-5,0.0
DH00296,SP007,5,0.0
DH00296,SP003,5,0.2
DH00297,SP004,3,0.1
DH00298,SP005,4,0.0
DH00298,SP002,4,0.0
DH00298,SP001,2,0.0
DH00299,SP006,5,0.0
DH00300,SP005,3,0.1
DH00301,SP005,3,0.0
DH00302,SP003,5,0.1
DH00303,SP007,4,0.0
DH00304,SP005,2,0.0
DH00305,SP001,2,0.0
DH00305,SP003,4,0.2
DH00305,SP006,5,0.1
DH00306,SP004,4,0.0
DH00306,SP001,-5,0.05
DH00307,SP004,1,0.05
DH00308,SP007,5,0.05
DH00309,SP005,5,0.05
DH00309,SP003,1,0.2
DH00309,SP008,1,0.0
DH00310,SP007,999,0.1
DH00310,SP001,5,0.1
DH00310,SP004,3,0.0
DH00311,SP008,5,0.2
DH00312,SP008,4,0.0
DH00313,SP007,2,0.05
DH00313,SP001,3,0.2
DH00314,SP006,4,0.1
DH00315,SP008,2,0.0
DH00316,SP004,3,0.0
DH00316,SP003,1,0.05
DH00317,SP001,4,0.0
DH00317,SP002,2,0.0
DH00317,SP007,5,0.05
DH00318,SP004,999,0.1
DH00318,SP002,3,0.0
DH00319,SP007,4,0.2
DH00320,SP004,2,0.1
DH00320,SP007,1,0.1
DH00320,SP005,-4,0.0
DH00321,SP005,1,0.1
DH00321,SP007,5,0.2
DH00321,SP008,3,0.0
DH00322,SP002,3,0.05
DH00322,SP001,2,0.0
DH00323,SP007,2,0.2
DH00323,SP001,3,0.0
DH00324,SP004,5,0.0
DH00324,SP002,1,0.2
DH00325,SP003,5,0.1
DH00325,SP006,1,0.0
DH00326,SP001,5,0.2
DH00326,SP003,4,0.1
DH00326,SP002,2,0.1
DH00327,SP006,4,0.2
DH00327,SP007,2,0.1
DH00328,SP003,1,0.0
DH00328,SP008,1,0.2
DH00329,SP005,2,0.1
DH00329,SP006,5,0.0
DH00330,SP005,1,0.0
DH00330,SP002,3,0.2
DH00331,SP003,3,0.1
DH00331,SP005,1,0.0
DH00331,SP004,1,0.0
DH00332,SP005,5,0.0
DH00332,SP006,3,0.0
DH00333,SP007,1,0.1
DH00333,SP006,4,0.0
DH00334,SP002,4,0.0
DH00335,SP002,-2,0.0
DH00336,SP005,3,0.0
DH00336,SP001,2,0.0
DH00337,SP001,5,0.05
DH00337,SP006,3,0.0
DH00338,SP003,4,0.0
DH00339,SP001,1,0.0
DH00340,SP002,3,0.0
DH00341,SP007,5,0.2
DH00341,SP005,2,0.1
DH00342,SP002,-4,0.05
DH00342,SP003,-2,0.1
DH00342,SP007,1,0.05
DH00343,SP004,1,0.0
DH00344,SP004,4,0.2
DH00344,SP006,3,0.2
DH00344,SP008,5,0.0
DH00345,SP008,1,0.05
DH00346,SP008,4,0.2
DH00346,SP006,4,0.0
DH00346,SP002,5,0.05
DH00347,SP008,3,0.2
DH00348,SP003,3,0.0
DH00348,SP005,1,0.1
DH00349,SP002,2,0.0
DH00349,SP006,3,0.1
DH00350,SP008,4,0.0
DH00350,SP006,5,0.0
DH00351,SP008,1,0.0
DH00351,SP006,1,0.0
DH00352,SP003,2,0.2
DH00352,SP008,3,0.1
DH00352,SP007,3,0.0
DH00353,SP002,5,0.0
DH00354,SP001,2,0.1
DH00354,SP005,999,0.0
DH00354,SP004,3,0.0
DH00355,SP008,1,0.05
DH00355,SP003,1,0.1
DH00356,SP004,3,0.0
DH00357,SP006,5,0.0
DH00357,SP002,1,0.2
DH00358,SP001,2,0.1
DH00359,SP004,2,0.0
DH00359,SP007,3,0.1
DH00360,SP005,4,0.1
DH00360,SP007,1,0.0
DH00361,SP003,5,0.0
DH00361,SP005,2,0.1
DH00362,SP003,5,0.05
DH00362,SP002,1,0.05
DH00362,SP005,5,0.0
DH00363,SP008,4,0.1
DH00363,SP001,4,0.05
DH00363,SP002,1,0.05
DH00364,SP005,4,0.05
DH00364,SP007,4,0.05
DH00364,SP002,2,0.1
DH00365,SP003,-4,0.1
DH00365,SP002,2,0.0
DH00365,SP005,5,0.0
DH00366,SP006,1,0.0
DH00366,SP001,3,0.1
DH00366,SP002,5,0.0
DH00367,SP006,1,0.0
DH00368,SP008,3,0.2
DH00368,SP006,-1,0.0
DH00368,SP002,5,0.2
DH00369,SP004,5,0.1
DH00369,SP007,3,0.0
DH00369,SP002,1,0.0
DH00370,SP006,4,0.0
DH00370,SP007,4,0.0
DH00371,SP003,4,0.05
DH00371,SP002,3,0.2
DH00372,SP007,5,0.0
DH00372,SP003,2,0.0
DH00373,SP005,2,0.1
DH00373,SP003,3,0.0
DH00374,SP002,4,0.0
DH00375,SP003,1,0.0
DH00375,SP005,2,0.0
DH00376,SP002,2,0.0
DH00376,SP003,4,0.0
DH00376,SP001,5,0.0
DH00377,SP003,2,0.0
DH00377,SP006,4,0.2
DH00378,SP005,5,0.0
DH00378,SP003,1,0.05
DH00379,SP007,2,0.05
DH00379,SP006,5,0.0
DH00380,SP008,1,0.0
DH00380,SP006,1,0.2
DH00381,SP003,4,0.05
DH00381,SP004,1,0.2
DH00381,SP002,1,0.2
DH00382,SP008,5,0.1
DH00382,SP002,-1,0.0
DH00382,SP004,2,0.0
DH00383,SP003,5,0.05
DH00383,SP005,2,0.0
DH00383,SP006,1,0.05
DH00384,SP002,3,0.1
DH00384,SP005,4,0.1
DH00385,SP007,4,0.1
DH00386,SP006,4,0.0
DH00386,SP002,1,0.0
DH00386,SP001,5,0.0
DH00387,SP002,3,0.0
DH00388,SP003,5,0.0
DH00388,SP001,5,0.0
DH00389,SP008,1,0.2
DH00389,SP006,3,0.05
DH00390,SP003,4,0.05
DH00390,SP007,-4,0.0
DH00391,SP007,2,0.05
DH00391,SP006,3,0.0
DH00392,SP001,2,0.2
DH00392,SP007,4,0.05
DH00393,SP002,4,0.0
DH00393,SP003,4,0.2
DH00393,SP006,4,0.0
DH00394,SP001,4,0.0
DH00394,SP007,3,0.0
DH00395,SP003,5,0.0
DH00395,SP006,5,0.0
DH00395,SP005,1,0.0
DH00396,SP004,4,0.2
DH00396,SP001,5,0.05
DH00397,SP003,-2,0.1
DH00397,SP004,4,0.2
DH00397,SP006,4,0.0
DH00398,SP002,3,0.05
DH00398,SP007,3,0.2
DH00398,SP004,2,0.0
DH00399,SP004,1,0.1
DH00399,SP007,3,0.0
DH00399,SP001,2,0.1
DH00400,SP002,3,0.0
DH00401,SP003,5,0.0
DH00401,SP004,4,0.05
DH00402,SP001,3,0.0
DH00402,SP003,5,0.2
DH00402,SP002,1,0.1
DH00403,SP005,5,0.05
DH00403,SP007,1,0.2
DH00403,SP001,2,0.0
DH00404,SP006,999,0.2
DH00404,SP001,5,0.0
DH00405,SP007,4,0.0
DH00405,SP002,5,0.2
DH00406,SP008,5,0.0
DH00406,SP003,1,0.2
DH00407,SP002,2,0.0
DH00407,SP007,4,0.05
DH00407,SP006,1,0.2
DH00408,SP001,2,0.2
DH00409,SP002,3,0.05
DH00409,SP001,3,0.1
DH00409,SP004,1,0.2
DH00410,SP001,5,0.1
DH00410,SP002,1,0.0
DH00410,SP005,2,0.2
DH00411,SP006,1,0.2
DH00412,SP005,4,0.2
DH00412,SP004,2,0.0
DH00413,SP004,3,0.2
DH00414,SP007,5,0.2
DH00414,SP005,3,0.0
DH00415,SP001,1,0.0
DH00415,SP008,1,0.2
DH00415,SP004,1,0.05
DH00416,SP005,3,0.1
DH00417,SP007,3,0.2
DH00417,SP001,3,0.0
DH00417,SP002,1,0.1
DH00418,SP006,3,0.0
DH00418,SP003,2,0.0
DH00419,SP004,3,0.05
DH00419,SP008,5,0.0
DH00420,SP002,4,0.05
DH00421,SP001,2,0.0
DH00422,SP002,2,0.1
DH00422,SP003,-2,0.1
DH00423,SP007,4,0.05
DH00423,SP001,2,0.0
DH00424,SP002,4,0.0
DH00424,SP007,3,0.0
DH00425,SP001,2,0.0
DH00425,SP006,2,0.1
DH00425,SP008,2,0.0
DH00426,SP008,3,0.2
DH00427,SP005,4,0.0
DH00427,SP007,2,0.0
DH00427,SP006,1,0.0
DH00428,SP001,1,0.0
DH00429,SP004,2,0.0
DH00430,SP002,3,0.1
DH00431,SP008,5,0.0
DH00431,SP004,-2,0.2
DH00432,SP005,3,0.2
DH00432,SP008,5,0.1
DH00432,SP006,-1,0.0
DH00433,SP003,5,0.0
DH00434,SP005,3,0.2
DH00434,SP006,1,0.2
DH00435,SP006,3,0.0
DH00436,SP004,4,0.1
DH00436,SP007,5,0.0
DH00436,SP008,2,0.0
DH00437,SP005,2,0.1
DH00438,SP008,4,0.0
DH00438,SP002,1,0.0
DH00439,SP005,3,0.0
DH00439,SP001,3,0.0
DH00439,SP003,3,0.05
DH00440,SP007,999,0.05
DH00440,SP004,4,0.0
DH00440,SP005,3,0.0
DH00441,SP008,1,0.0
DH00441,SP002,1,0.0
DH00441,SP005,5,0.0
DH00442,SP001,3,0.0
DH00443,SP002,4,0.2
DH00443,SP005,5,0.0
DH00443,SP007,4,0.0
DH00444,SP004,3,0.0
DH00445,SP003,3,0.2
DH00445,SP005,1,0.1
DH00446,SP008,3,0.0
DH00447,SP003,2,0.2
DH00448,SP001,1,0.2
DH00449,SP005,3,0.0
DH00449,SP003,2,0.2
DH00449,SP007,3,0.2
DH00450,SP003,5,0.0
DH00450,SP002,5,0.0
DH00451,SP001,1,0.0
DH00451,SP003,3,0.0
DH00451,SP002,2,0.05
DH00452,SP008,3,0.05
DH00452,SP001,3,0.0
DH00452,SP004,4,0.05
DH00453,SP003,2,0.0
DH00453,SP002,1,0.0
DH00453,SP001,1,0.05
DH00454,SP006,5,0.05
DH00454,SP004,2,0.0
DH00455,SP001,-4,0.0
DH00455,SP004,5,0.05
DH00455,SP006,4,0.2
DH00456,SP008,5,0.1
DH00457,SP004,3,0.0
DH00458,SP004,2,0.0
DH00458,SP007,5,0.05
DH00458,SP001,2,0.0
DH00459,SP004,1,0.1
DH00460,SP005,2,0.0
DH00461,SP001,2,0.0
DH00461,SP005,4,0.0
DH00461,SP003,-1,0.05
DH00462,SP006,4,0.2
DH00462,SP001,3,0.1
DH00462,SP008,3,0.0
DH00463,SP003,-1,0.05
DH00464,SP003,5,0.0
DH00465,SP007,2,0.0
DH00465,SP001,2,0.2
DH00466,SP003,4,0.0
DH00467,SP005,1,0.0
DH00467,SP008,5,0.0
DH00467,SP007,5,0.05
DH00468,SP002,3,0.0
DH00468,SP007,2,0.0
DH00469,SP005,3,0.2
