MaDH,MaKH,MaCH,MaNV,NgayMua,TrangThai
DH00168,KH0244,CH01,NV012,2024-05-22,Đang giao
DH00169,KH0062,CH02,NV013,21/10/2024,Đã hủy
DH00170,KH0122,CH01,NV013,07/05/2024,Hoàn thành
DH00171,KH0001,CH03,NV005,2024-12-25,Hoàn thành
DH00172,KH0061,CH04,NV011,2025-01-06,Hoàn thành
DH00173,KH0025,CH02,NV006,2025-06-20,Đang giao
DH00174,KH0044,CH03,NV003,15/09/2025,Đang giao
DH00175,KH0258,CH02,NV004,2026-04-18,Đang giao
DH00176,KH0220,CH04,NV009,2025-06-10,Hoàn thành
DH00177,KH0003,CH02,NV011,2025-12-09,Đã hủy
DH00178,KH0230,CH02,NV010,2026-01-20,Đang giao
DH00179,KH0272,CH04,NV009,2026-02-06,Đang giao
DH00180,KH0059,CH02,NV008,2025-11-03,Đã hủy
DH00181,KH0168,CH01,NV003,2025-05-03,Hoàn thành
DH00182,KH0084,CH03,NV014,2024-06-29,Đang giao
DH00183,KH0042,CH02,NV014,2025-04-20,Đang giao
DH00184,KH0153,CH03,NV007,2025-04-27,Hoàn thành
DH00185,KH0051,CH02,NV011,2024-09-14,Đã hủy
DH00186,KH0189,CH04,NV013,2025-07-31,Đã hủy
DH00187,KH0214,CH04,NV005,2024-10-22,Đã hủy
DH00188,KH0077,CH02,NV004,17/10/2025,Đang giao
DH00189,KH0028,CH03,NV008,14/07/2024,Hoàn thành
DH00190,KH0117,CH04,NV017,15/06/2024,Đã hủy
DH00191,KH0002,CH03,NV009,2025-06-09,Đã hủy
DH00192,KH0066,CH04,NV003,2024-08-12,Đang giao
DH00193,KH0033,CH02,NV003,30/12/2024,Đã hủy
DH00194,KH0085,CH04,NV006,2025-01-07,Đã hủy
DH00195,KH0277,CH04,NV011,17/06/2025,Đã hủy
DH00196,KH0035,CH04,NV018,2025-11-07,Đang giao
DH00197,KH0071,CH03,NV003,2025-05-11,Hoàn thành
DH00198,KH0126,CH01,NV012,10/07/2025,Đã hủy
DH00199,KH0232,CH02,NV003,2025-03-08,Đang giao
DH00200,KH0254,CH01,NV009,26/04/2026,Đang giao
DH00201,KH0236,CH01,NV011,2025-11-11,Hoàn thành
DH00202,KH0286,CH02,NV004,11/11/2024,Đang giao
DH00203,KH0130,CH02,NV010,2025-02-13,Đã hủy
DH00204,KH0062,CH03,NV012,2026-02-05,Đã hủy
DH00205,KH0295,CH04,NV004,2024-10-09,Hoàn thành
DH00206,KH0262,CH02,NV019,2024-12-11,Đang giao
DH00207,KH0151,CH04,NV014,2025-07-12,Hoàn thành
DH00208,KH0173,CH01,NV016,2025-01-17,Đã hủy
DH00209,KH0062,CH03,NV009,11/09/2025,Hoàn thành
DH00210,KH0032,CH03,NV013,19/11/2024,Đang giao
DH00211,KH0232,CH03,NV008,2024-09-15,Đang giao
DH00212,KH0168,CH02,NV007,2025-11-24,Hoàn thành
DH00213,KH0145,CH03,NV020,2025-05-06,Đã hủy
DH00214,KH0079,CH01,NV019,02/04/2025,Đã hủy
DH00215,KH0165,CH04,NV012,2024-05-09,Đang giao
DH00216,KH0098,CH04,NV007,2026-03-25,Hoàn thành
DH00217,KH0218,CH04,NV020,2025-10-13,Đã hủy
DH00218,KH0255,CH02,NV004,2025-07-26,Đang giao
DH00219,KH0004,CH03,NV009,2026-02-21,Đang giao
DH00220,KH0261,CH01,NV003,2024-11-27,Đang giao
DH00221,KH0159,CH03,NV007,29/04/2025,Đang giao
DH00222,KH0193,CH04,NV007,2025-04-13,Đang giao
DH00223,KH0106,CH01,NV010,2026-04-08,Đã hủy
DH00224,KH0219,CH01,NV008,12/04/2026,Hoàn thành
DH00225,KH0136,CH01,NV013,2026-01-18,Đang giao
DH00226,KH0072,CH01,NV008,2025-03-09,Hoàn thành
DH00227,KH0035,CH02,NV020,01/05/2024,Đã hủy
DH00228,KH0193,CH01,NV011,2025-01-17,Đã hủy
DH00229,KH0020,CH04,NV009,27/01/2026,Hoàn thành
DH00230,KH0115,CH02,NV018,2025-07-24,Hoàn thành
DH00231,KH0063,CH04,NV018,2025-08-29,Hoàn thành
DH00232,KH0115,CH04,NV017,12/02/2025,Đang giao
DH00233,KH0176,CH02,NV013,01/11/2025,Hoàn thành
DH00234,KH0020,CH01,NV010,2024-12-31,Đã hủy
DH00235,KH0014,CH01,NV014,2025-03-16,Đã hủy
DH00236,KH0037,CH03,NV020,2024-09-09,Đang giao
DH00237,KH0233,CH03,NV019,20/08/2024,Đã hủy
DH00238,KH0257,CH01,NV011,19/08/2024,Đang giao
DH00239,KH0264,CH01,NV019,2026-01-27,Đã hủy
DH00240,KH0056,CH04,NV004,2026-03-29,Đã hủy
DH00241,KH0128,CH02,NV004,2024-07-26,Đang giao
DH00242,KH0207,CH03,NV007,2024-10-04,Đã hủy
DH00243,KH0249,CH04,NV010,2025-02-08,Hoàn thành
DH00244,KH0045,CH04,NV011,2026-01-31,Hoàn thành
DH00245,KH0028,CH02,NV016,2024-08-07,Hoàn thành
DH00246,KH0076,CH02,NV003,22/05/2024,Đang giao
DH00247,KH0077,CH04,NV013,2025-09-17,Đã hủy
DH00248,KH0289,CH02,NV017,2026-02-07,Hoàn thành
DH00249,KH0073,CH03,NV015,2024-07-07,Đang giao
DH00250,KH0110,CH03,NV018,2024-11-26,Hoàn thành
DH00251,KH0155,CH04,NV010,2025-01-13,Hoàn thành
DH00252,KH0058,CH02,NV012,2024-05-24,Đang giao
DH00253,KH0214,CH02,NV009,24/03/2026,Đã hủy
DH00254,KH0285,CH04,NV015,2024-05-27,Đã hủy
DH00255,KH0054,CH04,NV019,04/04/2025,Đã hủy
DH00256,KH0237,CH03,NV003,2025-08-26,Hoàn thành
DH00257,KH0296,CH02,NV016,2025-07-27,Đang giao
DH00258,KH0069,CH02,NV019,2026-02-01,Đang giao
DH00259,KH0296,CH03,NV020,2025-12-20,Hoàn thành
DH00260,KH0088,CH01,NV012,2025-04-10,Đang giao
DH00261,KH0215,CH04,NV017,2025-05-27,Hoàn thành
DH00262,KH0173,CH01,NV007,2024-11-11,Đã hủy
DH00263,KH0028,CH01,NV008,2025-02-09,Đang giao
DH00264,KH0167,CH03,NV014,12/12/2024,Đã hủy
DH00265,KH0009,CH04,NV017,2025-03-06,Đang giao
DH00266,KH0177,CH04,NV004,2024-12-04,Đã hủy
DH00267,KH0071,CH03,NV007,2024-11-30,Đang giao
DH00268,KH0270,CH04,NV014,15/05/2024,Hoàn thành
DH00269,KH0070,CH03,NV003,14/11/2024,Đã hủy
DH00270,KH0270,CH02,NV014,2025-02-02,Đã hủy
DH00271,KH0067,CH02,NV019,2025-10-24,Đã hủy
DH00272,KH0118,CH02,NV016,2024-09-16,Hoàn thành
DH00273,KH0111,CH02,NV005,2026-02-10,Đã hủy
DH00274,KH0135,CH04,NV007,2026-03-21,Đang giao
DH00275,KH0244,CH03,NV011,09/05/2024,Đang giao
DH00276,KH0237,CH04,NV005,2025-10-03,Đã hủy
DH00277,KH0107,CH03,NV008,2024-06-07,Đã hủy
DH00278,KH0056,CH02,NV010,2025-10-10,Hoàn thành
DH00279,KH0129,CH03,NV006,2025-08-23,Hoàn thành
DH00280,KH0263,CH03,NV009,2024-08-14,Hoàn thành
DH00281,KH0262,CH02,NV005,2024-05-16,Hoàn thành
DH00282,KH0175,CH03,NV019,2024-06-24,Đang giao
DH00283,KH0169,CH03,NV008,2024-07-24,Đang giao
DH00284,KH0257,CH03,NV020,2025-08-24,Đang giao
DH00285,KH0177,CH04,NV011,03/05/2024,Đang giao
DH00286,KH0102,CH02,NV011,2026-04-22,Đang giao
DH00287,KH0021,CH01,NV006,20/05/2025,Đang giao
DH00288,KH0106,CH01,NV016,2025-10-21,Đang giao
DH00289,KH0261,CH04,NV011,2025-05-24,Hoàn thành
DH00290,KH0046,CH03,NV016,2024-05-10,Đã hủy
DH00291,KH0277,CH01,NV019,2025-11-26,Đã hủy
DH00292,KH0130,CH04,NV012,2026-04-22,Hoàn thành
DH00293,KH0209,CH03,NV015,2026-03-27,Đang giao
DH00294,KH0261,CH01,NV012,2025-04-12,Đang giao
DH00295,KH0184,CH02,NV005,2025-05-04,Đang giao
DH00296,KH0034,CH03,NV015,2025-03-16,Hoàn thành
DH00297,KH0192,CH02,NV015,2025-10-18,Đang giao
DH00298,KH0207,CH02,NV004,2024-05-09,Hoàn thành
DH00299,KH0140,CH04,NV008,21/06/2024,Đã hủy
DH00300,KH0047,CH02,NV011,2024-06-27,Đã hủy
DH00301,KH0256,CH03,NV011,2025-02-19,Hoàn thành
DH00302,KH0145,CH02,NV010,15/09/2024,Đã hủy
DH00303,KH0065,CH03,NV016,2024-09-21,Đang giao
DH00304,KH0217,CH03,NV005,2024-12-04,Hoàn thành
DH00305,KH0099,CH03,NV010,2024-06-24,Đang giao
DH00306,KH0199,CH04,NV011,18/04/2026,Đang giao
DH00307,KH0064,CH03,NV005,16/10/2025,Hoàn thành
DH00308,KH0049,CH01,NV020,02/01/2026,Đang giao
DH00309,KH0233,CH02,NV006,30/05/2024,Đang giao
DH00310,KH0114,CH01,NV019,05/07/2024,Đã hủy
DH00311,KH0180,CH01,NV011,2025-02-15,Hoàn thành
DH00312,KH0208,CH03,NV003,2024-05-08,Hoàn thành
DH00313,KH0248,CH03,NV007,2026-01-30,Hoàn thành
DH00314,KH0073,CH04,NV010,27/03/2025,Đã hủy
DH00315,KH0147,CH01,NV010,01/09/2024,Hoàn thành
DH00316,KH0111,CH02,NV011,2025-08-07,Hoàn thành
DH00317,KH0267,CH02,NV006,2025-07-22,Đã hủy
DH00318,KH0191,CH02,NV016,2024-08-26,Đang giao
DH00319,KH0051,CH03,NV019,2025-06-16,Đang giao
DH00320,KH0279,CH03,NV013,2024-08-30,Đã hủy
DH00321,KH0129,CH01,NV003,2024-07-16,Đã hủy
DH00322,KH0281,CH01,NV013,2024-09-08,Đã hủy
DH00323,KH0128,CH03,NV016,2025-08-21,Đang giao
DH00324,KH0259,CH03,NV007,20/07/2024,Đã hủy
DH00325,KH0205,CH01,NV019,04/04/2025,Đang giao
DH00326,KH0183,CH03,NV013,2026-02-16,Đang giao
DH00327,KH0067,CH04,NV009,2025-10-07,Hoàn thành
DH00328,KH0258,CH01,NV018,18/07/2024,Đã hủy
DH00329,KH0155,CH02,NV004,2026-01-28,Hoàn thành
DH00330,KH0133,CH01,NV008,2025-07-27,Đã hủy
DH00331,KH0141,CH03,NV018,2024-08-22,Đang giao
DH00332,KH0069,CH04,NV006,2025-08-18,Đã hủy
DH00333,KH0033,CH04,NV016,2025-03-23,Đã hủy
DH00334,KH0050,CH03,NV010,2024-11-13,Đã hủy
DH00335,KH0111,CH04,NV012,30/10/2024,Đã hủy
DH00336,KH0227,CH03,NV016,2025-06-27,Đã hủy
DH00337,KH0194,CH01,NV003,2025-10-06,Đã hủy
DH00338,KH0298,CH04,NV020,2026-01-11,Đã hủy
DH00339,KH0269,CH01,NV009,09/05/2025,Đang giao
DH00340,KH0185,CH01,NV014,2024-06-24,Đã hủy
DH00341,KH0069,CH04,NV007,2025-07-27,Đã hủy
DH00342,KH0042,CH01,NV014,27/12/2024,Hoàn thành
DH00343,KH0133,CH01,NV011,2025-10-10,Hoàn thành
DH00344,KH0075,CH02,NV008,2025-12-14,Đang giao
DH00345,KH0095,CH01,NV019,2024-05-12,Đã hủy
DH00346,KH0240,CH01,NV018,27/05/2025,Đã hủy
DH00347,KH0214,CH03,NV009,10/12/2025,Đang giao
DH00348,KH0056,CH01,NV014,2024-09-10,Đã hủy
DH00349,KH0140,CH01,NV004,2025-09-25,Hoàn thành
DH00350,KH0098,CH02,NV006,2026-04-02,Hoàn thành
DH00351,KH0268,CH02,NV018,2024-11-25,Hoàn thành
DH00352,KH0050,CH03,NV015,2024-08-23,Hoàn thành
DH00353,KH0232,CH01,NV003,2024-07-18,Đã hủy
DH00354,KH0148,CH02,NV004,28/03/2026,Đang giao
DH00355,KH0042,CH04,NV017,12/11/2025,Đã hủy
DH00356,KH0032,CH04,NV012,2025-06-01,Đã hủy
DH00357,KH0152,CH02,NV016,2024-06-19,Đang giao
DH00358,KH0092,CH03,NV007,2024-05-05,Đang giao
DH00359,KH0213,CH04,NV003,2025-07-13,Đã hủy
DH00360,KH0016,CH04,NV007,2025-02-17,Đang giao
DH00361,KH0223,CH04,NV018,2025-07-28,Đã hủy
DH00362,KH0031,CH03,NV015,2024-06-18,Hoàn thành
DH00363,KH0200,CH03,NV014,2024-09-25,Đang giao
DH00364,KH0222,CH03,NV018,2025-04-06,Đang giao
DH00365,KH0011,CH01,NV010,2024-12-14,Hoàn thành
DH00366,KH0227,CH04,NV015,2025-05-09,Đang giao
DH00367,KH0105,CH01,NV018,2025-05-07,Hoàn thành
DH00368,KH0115,CH03,NV012,11/12/2025,Đang giao
DH00369,KH0245,CH02,NV005,2025-05-03,Đang giao
DH00370,KH0157,CH02,NV020,2025-05-01,Đã hủy
DH00371,KH0172,CH03,NV006,2025-09-24,Hoàn thành
DH00372,KH0041,CH04,NV018,2024-05-31,Hoàn thành
DH00373,KH0135,CH03,NV009,27/05/2025,Đang giao
DH00374,KH0264,CH04,NV003,2024-05-03,Đang giao
DH00375,KH0081,CH04,NV003,22/06/2024,Hoàn thành
DH00376,KH0107,CH04,NV016,2024-07-23,Đã hủy
DH00377,KH0230,CH03,NV005,2025-07-16,Đang giao
DH00378,KH0069,CH02,NV004,2026-01-28,Đã hủy
DH00379,KH0234,CH04,NV013,14/08/2024,Đã hủy
DH00380,KH0243,CH03,NV013,2025-06-08,Đã hủy
DH00381,KH0147,CH01,NV011,2024-06-01,Đang giao
DH00382,KH0125,CH04,NV012,25/07/2025,Đã hủy
DH00383,KH0232,CH02,NV010,2025-06-12,Hoàn thành
DH00384,KH0056,CH04,NV020,2025-09-17,Đang giao
DH00385,KH0162,CH01,NV007,2026-02-03,Hoàn thành
DH00386,KH0274,CH02,NV018,2024-06-12,Đang giao
DH00387,KH0158,CH01,NV003,2025-03-23,Đã hủy
DH00388,KH0216,CH04,NV017,2025-04-19,Hoàn thành
DH00389,KH0189,CH01,NV014,05/11/2024,Hoàn thành
DH00390,KH0148,CH03,NV018,2025-08-07,Hoàn thành
DH00391,KH0070,CH03,NV020,2025-05-26,Đang giao
DH00392,KH0261,CH04,NV005,2025-10-11,Đã hủy
DH00393,KH0227,CH01,NV009,18/05/2024,Đang giao
DH00394,KH0121,CH04,NV011,2025-02-12,Hoàn thành
DH00395,KH0085,CH04,NV012,02/06/2024,Đã hủy
DH00396,KH0259,CH03,NV008,2025-11-17,Đã hủy
DH00397,KH0290,CH02,NV018,04/08/2024,Hoàn thành
DH00398,KH0006,CH03,NV016,2025-12-29,Đang giao
DH00399,KH0222,CH02,NV012,22/07/2024,Hoàn thành
DH00400,KH0232,CH04,NV016,2025-09-15,Đã hủy
DH00401,KH0278,CH01,NV003,2025-09-02,Đã hủy
DH00402,KH0178,CH02,NV007,31/12/2025,Đang giao
DH00403,KH0234,CH02,NV005,08/05/2025,Hoàn thành
DH00404,KH0013,CH04,NV003,2024-08-03,Đã hủy
DH00405,KH0002,CH02,NV009,2025-03-12,Hoàn thành
DH00406,KH0052,CH03,NV016,12/06/2024,Hoàn thành
DH00407,KH0005,CH03,NV007,2026-04-12,Đã hủy
DH00408,KH0239,CH02,NV017,2024-11-07,Hoàn thành
DH00409,KH0062,CH04,NV019,2025-05-29,Hoàn thành
DH00410,KH0273,CH03,NV003,2024-07-07,Đang giao
DH00411,KH0186,CH01,NV003,2025-06-12,Hoàn thành
DH00412,KH0110,CH02,NV014,2025-05-22,Hoàn thành
DH00413,KH0151,CH04,NV019,16/03/2026,Đã hủy
DH00414,KH0012,CH04,NV007,2024-09-08,Đang giao
DH00415,KH0046,CH02,NV015,2024-08-13,Đang giao
DH00416,KH0163,CH01,NV006,19/07/2024,Đang giao
DH00417,KH0207,CH03,NV019,2025-01-07,Đã hủy
DH00418,KH0253,CH03,NV010,25/09/2024,Đang giao
DH00419,KH0120,CH01,NV005,2025-11-17,Hoàn thành
DH00420,KH0177,CH02,NV010,2024-07-03,Hoàn thành
DH00421,KH0049,CH04,NV019,2025-09-30,Đang giao
DH00422,KH0207,CH04,NV009,2025-02-08,Đã hủy
DH00423,KH0300,CH02,NV012,2024-06-27,Hoàn thành
DH00424,KH0193,CH01,NV011,2025-12-12,Đã hủy
DH00425,KH0228,CH03,NV020,2024-06-08,Đã hủy
DH00426,KH0145,CH04,NV019,22/04/2026,Hoàn thành
DH00427,KH0021,CH02,NV006,03/08/2024,Đã hủy
DH00428,KH0072,CH02,NV011,2025-03-03,Đã hủy
DH00429,KH0253,CH03,NV004,2024-07-24,Hoàn thành
DH00430,KH0078,CH04,NV013,2024-11-24,Đang giao
DH00431,KH0053,CH02,NV014,15/05/2024,Hoàn thành
DH00432,KH0221,CH04,NV005,2025-09-05,Hoàn thành
DH00433,KH0029,CH02,NV019,2025-11-13,Đã hủy
DH00434,KH0233,CH03,NV011,2024-05-20,Đang giao
DH00435,KH0018,CH01,NV011,2026-03-20,Đã hủy
DH00436,KH0238,CH01,NV012,2025-05-21,Đã hủy
